order,r,omega,omega_ratio,amplitude,amplitude_ratio
3,78.5,0.6882352585386503,1.2806472336406969,8.817399237658268,0.8817399237658268
3,78.75,0.6891974456102375,1.2824376420747103,8.836639361377813,0.8836639361377813
3,79.0,0.6901626921001764,1.284233743381328,8.855795153470279,0.8855795153470278
3,79.25,0.691130998008467,1.2860355375605501,8.874866346216212,0.8874866346216213
3,79.5,0.6921023633351091,1.287843024612376,8.893852671896159,0.8893852671896159
3,79.75,0.693076788080103,1.2896562045368063,8.912753862790671,0.8912753862790671
3,80.0,0.6940542722434484,1.2914750773338408,8.9315696511803,0.89315696511803
3,80.25,0.6950348158251454,1.2932996430034793,8.950299769345598,0.8950299769345598
3,80.5,0.6960184188251941,1.295129901545722,8.968943949567098,0.8968943949567099
3,80.75,0.6970050812435944,1.296965852960569,8.987501924125365,0.8987501924125365
3,81.0,0.6979948030803463,1.2988074972480201,9.00597342530094,0.900597342530094
3,81.25,0.6989875843354498,1.3006548344080753,9.024358185374375,0.9024358185374375
3,81.5,0.6999834250089051,1.302507864440735,9.042655936626222,0.9042655936626222
3,81.75,0.7009823251007119,1.3043665873459986,9.060866411337024,0.9060866411337024
3,82.0,0.7019842846108704,1.3062310031238664,9.078989341787327,0.9078989341787327
3,82.25,0.7029893035393804,1.3081011117743384,9.097024460257687,0.9097024460257688
3,82.5,0.7039973818862422,1.3099769132974146,9.114971499028655,0.9114971499028656
3,82.75,0.7050085196514555,1.311858407693095,9.132830190380773,0.9132830190380773
3,83.0,0.7060227168350204,1.3137455949613794,9.150600266594594,0.9150600266594594
3,83.25,0.707039973436937,1.3156384751022683,9.168281459950666,0.9168281459950667
3,83.5,0.7080602894572052,1.3175370481157611,9.185873502729535,0.9185873502729536
3,83.75,0.7090836648958251,1.3194413140018582,9.203376127211754,0.9203376127211754
3,84.0,0.7101100997527965,1.3213512727605592,9.22078906567787,0.922078906567787
3,84.25,0.7111395940281197,1.3232669243918649,9.23811205040844,0.9238112050408439
3,84.5,0.7121721477217944,1.3251882688957743,9.255344813683998,0.9255344813683998
