order,r,omega,omega_ratio,tilt_deg
3,10.83084730963713,159.4202957614141,1.0007675752867564,9.380296739477009
3,10.869254569600383,159.42116448497316,1.0007730287352374,9.413761779731237
3,10.907661829563635,159.42203628365988,1.0007785014879613,9.44722899401727
3,10.946069089526887,159.4229111574742,1.0007839935449272,9.480698390617784
3,10.984476349490139,159.4237891064162,1.0007895049061357,9.514169977822045
3,11.022883609453391,159.42467013048582,1.0007950355715864,9.547643763925986
3,11.061290869416643,159.4255542296831,1.0008005855412796,9.581119757232214
3,11.099698129379895,159.426441404008,1.0008061548152152,9.614597966050047
3,11.138105389343147,159.42733165346056,1.0008117433933934,9.64807839869552
3,11.1765126493064,159.42822497804076,1.0008173512758138,9.681561063491449
3,11.214919909269652,159.42912137774857,1.0008229784624767,9.71504596876743
3,11.253327169232906,159.43002085258408,1.0008286249533822,9.748533122859882
3,11.291734429196158,159.4309234025472,1.0008342907485297,9.782022534112066
3,11.33014168915941,159.43182902763795,1.0008399758479198,9.815514210874126
3,11.368548949122662,159.43273772785636,1.0008456802515524,9.849008161503106
3,11.406956209085914,159.43364950320242,1.0008514039594274,9.882504394362986
3,11.445363469049166,159.4345643536761,1.0008571469715446,9.916002917824708
3,11.483770729012418,159.43548227927744,1.0008629092879044,9.94950374026621
3,11.52217798897567,159.43640328000643,1.0008686909085067,9.983006870072437
5,0.0,159.29802253608625,1.0,0.0
5,0.038407259963252234,159.2980240736497,1.0000000096521189,0.03316436023358348
5,0.07681451992650447,159.2980286863355,1.0000000386084469,0.06632872785960772
5,0.11522177988975671,159.2980363741302,1.0000000868688996,0.09949311027051108
5,0.15362903985300894,159.29804713701117,1.0000001544333352,0.13265751485872718
5,0.19203629981626116,159.29806097494685,1.0000002413015554,0.1658219490166827
5,0.23044355977951342,159.29807788789668,1.0000003474733055,0.19898642013679496
5,0.26885081974276565,159.29809787581095,1.0000004729482734,0.2321509356114693
5,0.3072580797060179,159.29812093863114,1.0000006177260918,0.26531550283309724
5,0.3456653396692701,159.29814707628955,1.000000781806336,0.2984801291940534
5,0.3840725996325223,159.29817628870944,1.0000009651885235,0.3316448220866943
5,0.42247985959577455,159.29820857580518,1.0000011678721177,0.36480958890335513
5,0.46088711955902684,159.29824393748197,1.000001389856523,0.39797443703634694
5,0.49929437952227906,159.29828237363614,1.0000016311410886,0.4311393738779555
5,0.5377016394855313,159.2983238841549,1.0000018917251066,0.46430440682043833
5,0.5761088994487835,159.29836846891644,1.000002171607812,0.49746954325602255
5,0.6145161594120357,159.29841612778995,1.0000024707883841,0.5306347905769013
5,0.652923419375288,159.29846686063559,1.0000027892659449,0.5638001561752353
5,0.6913306793385402,159.29852066730453,1.00000312703956,0.5969656474431435
5,0.7297379393017924,159.2985775476389,1.0000034841082381,0.6301312717727083
5,0.7681451992650447,159.29863750147177,1.000003860470932,0.6632970365559688
5,0.8065524592282969,159.29870052862728,1.0000042561265372,0.6964629491849185
5,0.8449597191915491,159.2987666289204,1.0000046710738921,0.7296290170515055
5,0.8833669791548014,159.29883580215724,1.00000510531178,0.7627952475476277
5,0.9217742391180537,159.29890804813482,1.0000055588389263,0.7959616480651309
5,0.9601814990813059,159.29898336664107,1.000006031654,0.8291282259958077
5,0.9985887590445581,159.29906175745504,1.0000065237556137,0.8622949887313934
5,1.0369960190078102,159.29914322034665,1.0000070351423236,0.8954619436635656
5,1.0754032789710626,159.29922775507683,1.0000075658126284,0.9286290981839406
5,1.1138105389343147,159.29931536139748,1.000008115764971,0.9617964596840698
5,1.152217798897567,159.2994060390515,1.000008684997737,0.9949640355554408
5,1.1906250588608194,159.29949978777276,1.0000092735092563,1.0281318331894713
5,1.2290323188240715,159.2995966072861,1.0000098812978013,1.0612998599775112
5,1.2674395787873238,159.29969649730737,1.0000105083615882,1.094468123310833
5,1.305846838750576,159.29979945754332,1.0000111546987764,1.1276366305806385
5,1.3442540987138283,159.29990548769177,1.0000118203074686,1.16080538917805
5,1.3826613586770804,159.3000145874415,1.0000125051857112,1.1939744064941087
5,1.4210686186403327,159.3001267564722,1.0000132093314935,1.227143689919777
5,1.4594758786035849,159.3002419944546,1.0000139327427486,1.2603132468459282
5,1.4978831385668372,159.3003603010504,1.0000146754173524,1.2934830846633525
5,1.5362903985300893,159.3004816759123,1.0000154373531251,1.326653210762748
5,1.5746976584933416,159.30060611868393,1.0000162185478296,1.3598236325347244
5,1.6131049184565938,159.30073362899992,1.0000170189991722,1.392994357369792
5,1.651512178419846,159.30086420648587,1.0000178387048024,1.4261653926583713
5,1.6899194383830982,159.30099785075836,1.0000186776623134,1.459336745790778
5,1.7283266983463506,159.301134561425,1.0000195358692419,1.4925084241572315
5,1.766733958309603,159.3012743380843,1.0000204133230677,1.5256804351478443
5,1.805141218272855,159.30141718032584,1.000021310021214,1.558852786152625
5,1.8435484782361073,159.30156308773005,1.0000222259610472,1.5920254845614727
5,1.8819557381993595,159.3017120598684,1.0000231611398773,1.6251985377641787
5,1.9203629981626118,159.30186409630343,1.000024115554958,1.6583719531504177
5,1.958770258125864,159.30201919658853,1.0000250892034857,1.6915457381097516
5,1.9971775180891163,159.30217736026813,1.0000260820826006,1.7247199000316242
5,2.0355847780523684,159.30233858687762,1.0000270941893858,1.7578944463053587
5,2.0739920380156205,159.30250287594336,1.0000281255208683,1.7910693843201568
5,2.112399297978873,159.30267022698274,1.0000291760740183,1.8242447214650972
5,2.150806557942125,159.30284063950404,1.0000302458457493,1.857420465129125
5,2.1892138179053773,159.3030141130066,1.0000313348329182,1.890596622701064
5,2.2276210778686294,159.3031906469807,1.000032443032325,1.9237732015696034
